character,dialog,seasons
Peter," Brian, teach me how to be a gentleman.",season 1
Brian," Well, Peter, its not really that hard. Lets start with a polite conversation. For example, its a pleasure to see you again. Lovely weather were having. Now you try.",season 1
Peter," Its a pleasure to see you again. After Hogans Heroes, Bob Crane got his skull crushed in by a friend who videotaped him having rough sex. Hows that?",season 1
Brian," Wow. Perfect. My work is done. But just for the heck of it, lets try it again.",season 1
Maids and Butlers M&B, We only live to kiss your ass,season 1
Maids and Butlers M&B, From here on in its easy street,season 1
Peter, Any bars on that street?,season 1
Peter," Oh, boy!",season 1
Maids and Butlers M&B, Well stop Jehovahs at the gate one man comes up to the gates,season 1
Peter," My God, this house is freakin sweet!",season 1
Peter," returns home Lois, put the coffee on!",season 1
Lois, Careful! I just cleaned the floor.,season 1
Peter, Good thing. Huh? laughs,season 1
Lois," Your Holiness, this is such an honor! Please, go into the living room, and make yourself at home!",season 2
Peter," Nooooo! runs over to Trix rabbit and smacks Trix out of hand Silly rabbit, Trix are for kids. Damn longears trying to take Easter away from Jesus! to Chicken Man Im sorry, what were you saying?",season 2
Peter, Randy Newman?,season 2
Lois," Well, its nice to have music while we eat.",season 2
Lois, whispers Lets get the hell out of here.,season 2
Brian," Oh, just die already.",season 2
Meg, EWW! Mom! Stewie peed on the rug again!,season 2
Brian, NO!,season 2
Stewie, Why dont you teach it to the Chinese girl? Or perhaps she can learn after her people invade your country.,season 2
Stewie," Oh, try and stop them. And try and stop Pablos people from using drug money to buy arms from Lis countrymen who will in turn sell them to Yuris people so they can ethnically cleanse the rest of this nauseatingly diverse grab bag of genetic party favors you call a family. So now you understand, yes? You all hate each other.",season 2
Peter," Oh, you people can kiss the fattest part of my ass!",season 2
Peter, Who are you?,season 2
Peter, points at Chris He is.,season 2
Lois," Peter, youve never done a creative thing in your life.",season 2
Peter, Thats not true. I wrote The Bonfire of the Vanities.,season 2
Lois," No, you didnt.",season 2
Peter," You win this round, Lois.",season 2
Lois, Youre not being creative. Youre just destroying a wonderful show.,season 2
Peter," Hey, hey. I have more creativity in my whole body than most people do before 9",season 2
Lois, The only thing you create before 9,season 2
Peter," I think my work will speak for itself. walks out of room and comes back a few seconds later laughs I just got that. A poop joke? Thats real creative, Lois.",season 2
Stewie, to Peter Youre the worst thing to happen to musical theater since Andrew Lloyd Webber.,season 2
Lois," Ugh, typical male fantasy... women drinkin beer. I guarantee you a man made that commercial.",season 2
Peter," Of course a man made it. Its a commercial, Lois. Not a delicious Thanksgiving dinner.",season 2
Peter, Theres gotta be an explanation for all this!,season 2
Brian, You want an explanation? smacks Peter GOD... IS...PISSED!,season 2
Peter," Ill handle it, Lois. I read a book about this sort of thing once.",season 2
Brian, Are you sure it was a book? Are you sure it wasnt nothing?,season 2
Peter, ...Oh yeah.,season 2
Lois," Well continue this discussion tonight, young man. A woman is not an object.",season 2
Peter," Your mothers right, son. Listen to what it says.",season 2
Lois, Peter!,season 2
Peter, I didnt say that. Lee Majors did.,season 2
Lois," Peter, you can take off your blindfold now, were almost there.",season 2
Peter," Not yet, I dont wanna ruin my birthday surprise.",season 2
Lois, Then at least let me drive!,season 2
Peter," Lois, you know its illegal for women to drive. cat screeches A woman driving... he is now driving through oncoming traffic laughs thats adorable.",season 2
Peter, making a birthday wish Id sell my soul to be famous.,season 2
Peter," Chris, are you gonna take that from a fisherman?",season 2
Chris, lividly NO WAY!!,season 2
Stewie, What the hell is this? I said egg whites only! Are you trying to give me a bloody heart attack?!? hurls his plate against a wall Make it again!,season 2
Stewie," Ah, the breakfast thing. Yes. It wasnt even about the eggs, really. Frankly, I like the yolks. I do. I have no problem. Its just, theres always been a lot of tension between Lois and me. And its not so much that I want to kill her. Its just I want her not to be alive anymore. I sometimes wonder if all women are this difficult, and then I think to myself",season 2
Stewie," Arent you a little old to be wearing braces? man covers mouth, embarrassed",season 2
Stewie," Hello, operator? Hello? Oh God, thats right, you have to punch in the numbers nowadays. I should know this...oh, yes, 8675309, thats it. No wait, thats not it. Damn you, Tommy Tutone! sighs Only one thing to do. dials number 1111111. Lois? Damn! dials again 1111112. Lois? DAMN! dials again 1111113.",season 2
Lois," Now dont try and pawn this off on your sister, shes a good girl.",season 2
Chris, Oh yeah? What about the time she strangled my other sister?,season 2
Lois," nervously Chris, honey, we told you, that was just a bad dream.",season 2
Chris, But I remember it so clear,season 2
Brian," eating an apple Well, well, well. Looks like someones in love.",season 2
Stewie," HA! Thats so funny I forgot to laugh...excluding that first ""HA.""",season 2
Brian," Uhhuh. Face it, youre a sucker for a woman with blue eyes.",season 2
Stewie, AHA! Her eyes are GREEN!,season 2
Brian, AHA! Thank you for proving my point.,season 2
Stewie, DAMN!,season 2
Stewie," No, no, actually its Stewie, but...well, well, you can call me ""Cookie"" if you like. chuckles nervously Yes, I, yes, yes, Ive also been known to answer to ""Artemis,"" ""Agent Buckwald,"" and ""Snake."" Yes, yes, II rather like ""Snake."" Snake Griffin... wiggles his tongue like a snake",season 2
Peter," Lois has had the car all week, and its just been hell getting around. I actually had to rent a mustang.",season 2
Peter, What are you gonna make me do? Whack a guy? Off a guy? Whack off a guy? Cause Im married.,season 2
Stewie," My God, its finally happened. Hes become so massive hes collapsed into himself like a neutron star.",season 2
Meg," Wow, Chris, did you lose weight?",season 2
Chris," Um, maybe. IIve been working out.",season 2
Meg," Well, you look wicked skinny. Im, like, jealous!",season 2
Chris," Thanks, Meg. Im jealous of your mustache.",season 2
Meg, I dont have a mustache...do I?,season 2
Lois," Oh, honey, its fine. It makes you look distinguished.",season 2
Meg," But, Mom!",season 2
Lois," Now, Meg, I think all my children are beautiful.",season 2
Stewie," Damn you ice cream! Come to my mouth. How...dare you disobey me? a passing baby in a stroller waves at him What are you looking at you...you infantile...stupid? Thats right, damn you and such. You can yawns go burn in hell... falls asleep",season 2
Lois," Chris, is that a note?",season 2
Chris, No.,season 2
Lois, Yes it is. Would you like to read it for the rest of the class?,season 2
Chris, ...No!,season 2
Meg," Just read it, lardo.",season 2
Chris, reading the note I think Mrs. Griffin is hot.,season 2
Lois, Go to your room.,season 2
Chris," Dad, I tried to go to school, but this guy wont let me.",season 2
Peter, Oh yeah? Him and what army?,season 2
Chris, The U.S. Army. points to tanks and soldiers on the other side of the fence,season 2
Peter," Oh, thats a good army.",season 2
Lois," Oh, I havent been on a college campus in years. Everything seems so different.",season 2
Stewie," Really? Perhaps if you laid on your back with your ankles behind your ears, that would ring a few bells?",season 2
Meg," Mayor West, youve been talking for an hour and I dont have anything I can use in my article. Can you just please...",season 2
Meg, It just went down the drain.,season 2
Meg," You spent public money investigating this? Thanks. You know, I think I have my story. leaves",season 2
Lois, Youre drunk again!,season 2
Peter," No, Im just exhausted cause Ive been up all night drinking.",season 2
Lois," Oh, my God! You can only play the piano when youre drunk!",season 2
Peter," Thats not true! I can also vomit, fall down and make dirty calls to your sister when Im drunk!",season 2
Quagmire," The only tent Im pitching this weekend is...well, you see where Im going with this. Oh!",season 2
Chris, Old enough to know youre a whore.,season 2
Stewie," Hello, operator? Hello? Oh God, thats right, you have to punch in the numbers nowadays. I should know this...oh, yes, 8675309, thats it. No wait, thats not it. Damn you, Tommy Tutone! sighs Only one thing to do. dials number 1111111. Lois? Damn! dials again 1111112. Lois? DAMN! dials again 1111113.",season 2
Lois," Now dont try and pawn this off on your sister, shes a good girl.",season 2
Chris, Oh yeah? What about the time she strangled my other sister?,season 2
Lois," nervously Chris, honey, we told you, that was just a bad dream.",season 2
Chris, But I remember it so clear,season 2
Brian," eating an apple Well, well, well. Looks like someones in love.",season 2
Stewie," HA! Thats so funny I forgot to laugh...excluding that first ""HA.""",season 2
Brian," Uhhuh. Face it, youre a sucker for a woman with blue eyes.",season 2
Stewie, AHA! Her eyes are GREEN!,season 2
Brian, AHA! Thank you for proving my point.,season 2
Stewie, DAMN!,season 2
Stewie," No, no, actually its Stewie, but...well, well, you can call me ""Cookie"" if you like. chuckles nervously Yes, I, yes, yes, Ive also been known to answer to ""Artemis,"" ""Agent Buckwald,"" and ""Snake."" Yes, yes, II rather like ""Snake."" Snake Griffin... wiggles his tongue like a snake",season 2
Peter," Lois has had the car all week, and its just been hell getting around. I actually had to rent a mustang.",season 2
Peter, What are you gonna make me do? Whack a guy? Off a guy? Whack off a guy? Cause Im married.,season 2
Stewie," My God, its finally happened. Hes become so massive hes collapsed into himself like a neutron star.",season 2
Meg," Wow, Chris, did you lose weight?",season 2
Chris," Um, maybe. IIve been working out.",season 2
Meg," Well, you look wicked skinny. Im, like, jealous!",season 2
Chris," Thanks, Meg. Im jealous of your mustache.",season 2
Meg, I dont have a mustache...do I?,season 2
Lois," Oh, honey, its fine. It makes you look distinguished.",season 2
Meg," But, Mom!",season 2
Lois," Now, Meg, I think all my children are beautiful.",season 2
Stewie," Damn you ice cream! Come to my mouth. How...dare you disobey me? a passing baby in a stroller waves at him What are you looking at you...you infantile...stupid? Thats right, damn you and such. You can yawns go burn in hell... falls asleep",season 2
Lois," Chris, is that a note?",season 2
Chris, No.,season 2
Lois, Yes it is. Would you like to read it for the rest of the class?,season 2
Chris, ...No!,season 2
Meg," Just read it, lardo.",season 2
Chris, reading the note I think Mrs. Griffin is hot.,season 2
Lois, Go to your room.,season 2
Chris," Dad, I tried to go to school, but this guy wont let me.",season 2
Peter, Oh yeah? Him and what army?,season 2
Chris, The U.S. Army. points to tanks and soldiers on the other side of the fence,season 2
Peter," Oh, thats a good army.",season 2
Lois," Oh, I havent been on a college campus in years. Everything seems so different.",season 2
Stewie," Really? Perhaps if you laid on your back with your ankles behind your ears, that would ring a few bells?",season 2
Meg," Mayor West, youve been talking for an hour and I dont have anything I can use in my article. Can you just please...",season 2
Meg, It just went down the drain.,season 2
Meg," You spent public money investigating this? Thanks. You know, I think I have my story. leaves",season 2
Peter," A degenerate, am I? Well, you are a festisio! See? I can make up words too, sister.",season 3
Brian," Hey, yknow what might be a thrill for you guys?",season 3
Chris, Ooh! Ooh! Eating a pebble!,season 3
Stewie, hypnotized Im going to sit here and enjoy it. And I like pudding. And Ghost Dad was the best movie Ive seen since Leonard Part 6.,season 3
Brian, Those bastards turned a whole generation of Americans into smokers with their damn subliminal advertising.,season 3
Peter," Hey, since I became President, profits have been higher than Alyssa Milano. laughs",season 3
Quagmire," to lesbians So, you ladies ever been penetrated?",season 3
Peter, Thank you!,season 3
Peter," Gosh, everybodys so nice here. I mean, yknow, I mean, theyre gonna be disappointed when they find out Im not gay, but, wow!",season 3
Lois," after seeing Chris penis Oh, my! Well, no wonder hes always slouching.",season 3
Peter, How the hell did this happen? Im supposed to be the man of the house. You must be so ashamed of me.,season 3
Lois," Oh, Peter, I care as much about the size of your penis as you care about the size of my breasts.",season 3
Peter," OH, MY GOD! runs away",season 3
Peter," Well, Im sure as Hell not going in the back door!",season 3
Quagmire," Hey honey, why dont you turn around and show me the Lower East side?",season 3
Quagmire," WHOA! Transvestite! Back off! Wait a sec, preop or postop?",season 3
Quagmire, WHOA! Transvestite! Back off! to the others Youre right. This place blows.,season 3
Peter, You just hit me!,season 3
Lois, Thats right!,season 3
Lois," You cant hit me, Im a girl!",season 3
Peter, Sometimes I wonder.,season 3
Meg, I just wanna kill myself! Im going upstairs right now and eat a whole bowl of peanuts! blank stares from Peter and Lois Im allergic to peanuts! more blank stares You dont know anything about me! runs upstairs,season 3
Peter, Who was that guy?,season 3
Lois," Peter, calm down. Everythings gonna be fine.",season 3
Peter," I hope so, cause if I blow this, Im gonna haft go back to my old job at the Electric Company.",season 3
Brian," Peter, did you read the fine print on this loan contract?",season 3
Peter," Um... if by ""read"" you mean ""imagined a naked lady"", then yes.",season 3
Stewie, The port is quite good.,season 3
Brian," Yes, quite good.",season 3
Chris, Indeed.,season 3
Peter, Most certainly.,season 3
Brian, What year is it?,season 3
Brian, Ah.,season 3
Peter, Delectable.,season 3
Stewie, Indeed.,season 3
Chris, Yes.,season 3
Peter," catches fire Oh, dear!",season 3
Brian, What is it?,season 3
Peter, It appears Ive spontaneously combusted.,season 3
Stewie," Oh, I am sorry.",season 3
Peter," Oh, its quite all right. Ive grown tired of living.",season 3
Stewie," Ah, very good then.",season 3
Chris, For the best.,season 3
Brian, Indeed.,season 3
Stewie," Oh, is it raining again?",season 3
Peter," after Carol has given birth Oh, my God!",season 3
Lois, What? What?!,season 3
Peter, holds a crying baby Its a beautiful baby girl.,season 3
Peter," But she has a penis. Well, well have to do somethin about that. grabs a scalpel",season 3
Lois," takes the scalpel Peter, no! Its a boy!",season 3
Stewie," after Peter heads for the bathroom Come back here this instant, you fat bastard, and DO HER!!",season 3
Peter," at the police station, where the convicts are held Hi, uh, excuse me, you guys. Yeah, Im here to pick up my son, Chris Griffin. Uh, hes here to finger the guy who held up that convenience store. Mmaybe youve seen him, his name is Chris Griffin. Oh, wait a second, yknow, I think I got a picture of him, somewhere...hhere you go. gives the picture to the one who robbed the store Yeah, you can go ahead and hang on to that, I got a ton of em at home. In fact, I was gonna throw that one out anyway cause Chris messed it up by writing his school schedule and a list of his fears all over the back of it.",season 3
Meg, This is our house?,season 3
Lois," Oh, come on, Meg. I bet if we fixed it up a little bit, it could be a piece of crap.",season 3
Meg," Oh, my God!",season 3
Peter," Oh, no, hes just awkwardly positioning himself... shocked Now hes violating Seabreeze.",season 3
Brian," I love chocolate! But I cant eat it, because then Ill get fat. But its SO good!",season 3
Peter," What the hell does ""rant"" mean?",season 3
Peter," Hey Chris, what are you doing?",season 3
Chris," Just layin back in the cot, peepin at this here homie. Yo pops, get me some cheddar. Some playerhater be throwin salt in my game and grillin me over my gear, and I needs to be mackin style.",season 3
Peter," Well, uh... the important thing is you tried, son.",season 3
Peter," Mr. Tucker, I have just become handicapped like Joe Swanson. And I demand commercial endorsements and a TV movie based on me starring Valerie Bertinerni.",season 3
Peter, Ahah. extracts tape I even got the first piece youre gonna run,season 3
Peter," on tape Oh, no! A car going too fast to stop in time! AIEEEEE!!!",season 3
Peter, Im handicapped now!,season 3
Peter," Oh, come on!",season 3
Peter," Well, theres your hook!",season 3
Lois," Brian, youre not wearing the sweater I made you.",season 3
Brian," Uh, wwell, its a little warm in here...",season 3
Lois," ""Don we now our gay apparel.""",season 3
Brian, puts his sweater on Doesnt get much gayer than this.,season 3
Lois," Hey, why dont you take Joe along?",season 3
Peter," Yeah, Lois. Thatll be about as much fun as a lecture on ontological empiricism.",season 3
Lois, What?,season 3
Peter, What?,season 3
Chris, laughs Rump.,season 3
Peter," This isnt funny, Chris! laughs Swallow.",season 3
Peter, Damn it all!,season 3
Peter, Sorry! Sorry.,season 3
Peter," Look, theres nothin I can do. All right?",season 3
Peter," jumps out of his seat Look, its an endangered species! What am I supposed to do?",season 3
Peter," Oh, good comeback, Potsie!",season 3
Peter," Look, everybody just shut up! Shut up! He has stopped squawking! Hes receded into my beard! We can all watch the movie! Shut up!",season 3
Peter," Lois, Im scared. drops his hot dog Oh, Ill get that. reaches under the table",season 3
Peter," Oh! Oh! Oh God, oh, Dave, sorry! Oh, oh, God!",season 3
Chris, Boobies.,season 3
Lois," Chris, thats enough! Well, Im sure glad to be out of there!",season 3
Peter," You said it, Lois. What those people are doing just aint natural.",season 3
Chris, Boobies.,season 3
Lois," Did you hear me, young man?",season 3
Chris, Boobies!,season 3
Lois, Peter?,season 3
Lois," Did you have fun at the circus today, Chris?",season 3
Lois, Look at that handsome man.,season 3
Peter, You son of a bitch! punches the mirror,season 3
Stewie," Oh, we met on the Internet.",season 3
Brian, Shut up!,season 3
Stewie," Yes, he lured me down to the park with promises of candy and funny stories.",season 3
Stewie," comes across a smoking Mother Maggie Oh, Mother Maggie, thank God! Somethings terribly wrong!",season 3
Stewie," Wha Why, thats not your voice. Your voice is lyrical, like the gentle strum of a lute!",season 3
Stewie, Its a fake. Its not real.,season 3
Brian," I thought itd be best for you to find out on your own, kid.",season 3
Stewie, I feel like such a fool. Dont even look at me!,season 3
Brian," Hey, come on. You wan get some ice cream? Thatd make ya feel better. Right? Stewie shakes his head no You wanna get some McDonalds? Stewie shakes his head no again You wan take a dump in Mother Maggies shoes? Stewie nods his head yes Okay. Lets go take a dump in Mother Maggies shoes.",season 3
Peter," Well, we promised Lois wed use our powers responsibly, but I suppose doing the exact opposite couldnt hurt.",season 3
Peter," Lois, no one really needs glasses.",season 3
Meg, You wear glasses.,season 3
Peter, Thats only to fool the man from the draft board.,season 3
Peter, Wait a second. Rosenblatt? Greenstein? So youre saying I need a Jewish guy to handle my money?,season 3
Peter," Well, yeah, I guess not the retarded ones, butbut why would you even say that? For shock value? Jeez, Cleveland, theres ""edgy"" and theres ""offensive."" Good day, sir!",season 3
Peter," Everybody, Ive got bad news. Weve been cancelled.",season 4
Lois," Oh, no! Peter, how could they do that?",season 4
Peter," Well, unfortunately, Lois, theres just no more room on the schedule. Weve just got to accept the fact that Fox has to make room for te",season 4
Lois, Is there no hope?,season 4
Peter," Well, I suppose if all those shows go down the tubes, we might have a shot.",season 4
Chris," Good morning, Mrs. Lockhart.",season 4
Chris, Two Ds and an F.,season 4
Lois," No, wait a minute! I cant call the police! I have to get rid of this body, or Chrisll go to prison! And we all know what happens in tho",season 4
Brian," sees Brutus Peter, what the hell is that?",season 4
Peter," Ah, this is my seeing eye dog, Brutus.",season 4
Brian, What do you need a seeing eye dog for?,season 4
Peter," Well, cause I cant do anything for myself, Brian. I cant drive, I dont know when to cross the street, and I took a dump in a church",season 4
Peter," Uh, hi, uh, sorry. I know youve got a meeting going on, but, um...so, we are officially running low on Mr. Pibb and CheezIts. So, um,",season 4
Peter," Oh, please tell me this is some kind of practical joke. Likelike the kind I used to play when I was an intern at the hospital.",season 4
Peter," Im afraid I have some very bad news, your wifes going to be a vegetable. Youll have to bathe her, feed her, and care for her the rest",season 4
Peter," laughs No no no, Im just kidding. Shes dead.",season 4
Peter," Hey, you gotta start somewhere, fellas. Thats how you evolve. Like when the tin man found out he was gay.",season 4
Peter, Your wifes cheatin on ya.,season 4
Cleveland, What?!,season 4
Peter," Yeah. Its actually a pretty funny story. A true story. Brian and I walked into your house, and she was with some guy goin",season 4
Brian," Uh, Peter...",season 4
Peter," Hang on. Im not done. ""Bam! Bam! Bam! Bam!"" And then, shes all... imitates Loretta ""Oh, yeah! Oh, yeah!"" ""Bam! Bam! Bam!"" You wanna",season 4
Peter," So, thats what were dealin with here. Any thoughts?",season 4
Peter," All right, Cleveland. If this doesnt light a fire in your belly, nothin will.",season 4
Peter," Hey! Look at me! Im Quagmire. I had sex with your wife. Giggity, giggity, giggity, giggity!",season 4
Cleveland, Those are so his mannerisms. laughs,season 4
Brian," Peter, what the hell are you doing?",season 4
Peter," Im not Peter. Im Quagmire. And Im doin you, Loretta.",season 4
Brian, What the hell?,season 4
Cleveland," Glenn Quagmire, YOURE DEAD!!",season 4
Lois," Well, now that the mess is all cleaned up and were back from the emergency room, its time for the last game of the night, Trivial Pursu",season 4
Peter," Oh, man, I hate Trivial Pursuit. It always makes me feel so stupid.",season 4
Brian, More stupid than that time you locked your keys out of the car?,season 4
Peter," Damn it. Hey, hey! Somebody! Hey! a man walks by the car Hey, sir! Sir! Sir, you see those keys there? Sir? Siroh, screw you! shifts",season 4
Peter, Does that mean I get my kids back?,season 4
Peter," Oh, crap! to the judge Oh, it was prison you were thinking of. Prison.",season 4
Stewie," Well, I guess the pilot must have been JFK Jr. realizes what he just said",season 4
Quagmire, Mittens has food in his bowl!,season 4
Quagmire, Thats old food! Mittens meows,season 4
Quagmire," Mittens, shut up! Mittens, SHUT UP!",season 4
Quagmire, Dont you talk to Mittens that way! Mittens is a member of this family!,season 4
Quagmire," Mom, you want this threeway to happen, youre gonna have to change your tone!",season 4
Meg," God, I dont think I couldve been any clearer the last time I turned him down.",season 4
Meg," walks on the set Neil Goldman of Quahog, Rhode Island, leave me alone! I hate you! I HATE YOU!! leaves",season 4
Stewie," He what?! That blackguard! Oh, come here. Lemme just Lemme just hold you for a while.",season 4
Stewie, But... But... But... But I... I... You... I... I... wails like a real baby,season 4
Stewie," Well, how about no more job?! Hmm? You hear that, Miss Fussybritches?! I shall see you fired! Damn you! I thought we were going to go a",season 4
Brian," Uh, hey, uh, Bonnie, uh, listen, why dont you stop with the questions, huh? Youreyoure ruining everyones good time. Like Peter did",season 4
Peter," Hi there, how yall doing? Alright, so Im at the DMV the other day. Long lines, long lines at the DMV, but, uh, youll all find out abo",season 4
Peter," Tell me about it. So, anyway, who hates flying?",season 4
Peter," So, uh, Mr. Pewterschmidt, the, uh, big race is tomorrow, eh? Bet youre gonna need some big strapping men to help you with your boat.",season 4
Peter," No. No. I justI just thought you might want some extra seamen on your, uh, ononon your poopdeck. Carter punches Peter in the face, k",season 4
Stewie," reads The Da Vinci Code Oh, yes, just as I thought. France... art... murder?! Well, this is a bigger surprise than that time Peter va",season 4
Peter," Hey, Stewie. Peekaboo!",season 4
Stewie," Yes, I see you, fat man.",season 4
Peter, gasps Wheres Daddy? covers eyes,season 4
Stewie," What? looks around Where did you go?! Oh, this is impossible! III can hear you, but I cant see. Well, he must really be gone. sta",season 4
Peter, removes hands from eyes Peekaboo!,season 4
Stewie," Ahh! How the hell did you do that?! Look, I thought you disappeared, otherwise I wouldnt have picked my Peter covers his eyes again",season 4
Quagmire," Hey, whats that?",season 4
Peter, stops What?,season 4
Cleveland, Youre eatin somethin!,season 4
Peter, I dont know what youre talkin about.,season 4
Peter," Yeah. See, now, this is why I didnt say anything. I knew you were gonna get like this.",season 4
Peter," Look, look, Joe, I...!",season 4
Peter, Okay. You know what? Lets just agree to disagree.,season 4
Peter, Yeah. The buffet was great!,season 4
Cleveland, And I enjoyed shootin Skeet.,season 4
Cleveland, Theres nothin good about what you do or who you are.,season 4
Peter," Wow, that sounds even better than when I got paid to take part in that study.",season 4
Peter," Im sorry, I cant see what youre going for here. What, hey, let me look at turns to see the puzzle, a jar of jam Oh, its a jar of",season 4
Lois," Oh, I wonder how your fathers first day of work went.",season 4
Meg, Dad? What the hell are you doing!?,season 4
Peter," drunk Uh, yeah, hey buddy. Uh, Ill have a triple cheeseburger and a large fries and uh...do you sell pants?",season 4
Chris," Jack, are you out there? I wanna show you my new bikini.",season 4
Peter, What the hell?! Why they blockin out all the good stuff?,season 4
Peter, Theyre messin with my shows!,season 4
Brian," Come to think of it, there was something very different about that Honeymooners episode I watched today.",season 4
Brian, This must be the FCC overreacting to the David Hyde Pierce incident. Theyre censoring anything that might be viewed as unpleasant.,season 4
Peter," What the hell?! They let Sarah Jessica Parkers face on TV, and she looks like a foot. Well, mark my words, Im gonna fight this!",season 4
Peter," Hi, there. Im Peter Griffin, and youre watchin PTV, where you get to watch your favorite shows as nature intended them, with all the",season 4
Peter, And who could forget that classic episode of The Waltons?,season 4
Chris," Hi, Dad!",season 4
Peter, Go to your room.,season 4
Chris, Okay. heads upstairs and falls through to the floor again,season 4
Peter," You know, I thought I could help people with this whole ATeam thing, but it turns out Im as useless as that nude Playboy spread of Deb",season 4
Stewie," Hey, hey Dad, Dad. Pull my finger. holds his finger out, Peter pulls it Wait... farts Oh, sounded like a peeptoad! But its not sum",season 4
Peter," Hey, Drippy, youre back! Whats for dinner?",season 4
Brian," Aw, dont feel bad, Peter. Hey, I know whatll cheer ya up.",season 4
Peter, Nah. I dont think Im in the mood.,season 4
Brian," Are ya sure? leaves, then comes back with a banana suit; sings and dances",season 4
Peter," Sorry, Brian. Its just not doin it today. leaves",season 4
Brian, continues singing and dancing Do the Peanut Butter Jelly!,season 4
Stewie," Hey, Brian. Marian just called you an alcoholic.",season 4
Brian," Oh, yeah? Marian just called you a homo.",season 4
Stewie," Wait a second. Ill be right back. leaves, then returns with a cucumber Hey, Brian, Brian. What if I put this cucumber right here? Pu",season 4
Brian," I dont know, man. Its his wife.",season 4
Stewie," You dont think hed be ticked off if I put this... Just put that right there? Just right in that spot, right there on the couch?",season 4
Brian," laughing Hey, Marians giving you a thumbs up. laughs",season 4
Stewie, You know what we should do? We should let it sit here for a couple of weeks and see if it pickles.,season 4
Stewie," If after three weeks, it pickles, then shes real, and we both have to buy Patrick a steak.",season 4
Peter," prays to Fonzie Fonzie, if this be your will, please give me a sign.",season 4
Peter, amazed It sure is! Fonzie be praised!,season 4
Stewie," after finding a drunk Brian sitting by a fire hydrant Oh, God, a gutter? How cliché!",season 4
Brian," I dont know what went wrong. I was just trying to live for the moment, you know? Cause life can end so abruptly and theres nothing yo",season 4
Stewie," Is that why youve been on this path to selfdestruction? You know, Brian, as smart as you are, youve just got to accept the fact that",season 4
Brian," You mean, the way you cant control that messed up way that you laugh when you think something is really, really funny?",season 4
Stewie," Yes, and I accept that. Your problem is you think that just because youre not in control, nothing matters. Ththat YOU dont matter. B",season 4
Peter," All right, now listen up, you limey bum sniffers! If were gonna beat the New England Patriots next week, I got to toughen you up. So yo",season 4
Peter," Thanks, Regis.",season 4
Peter," Uh, okay, um... Z, 4, Q... another Q... uh... a third Q, and the Batman symbol.",season 4
Peter, Is it Alex Karras in Webster? the whole puzzle is revealed,season 4
